gene,CPTAC_Mutations,CPTAC_Silenced,CPTAC_Expressed,CPTAC_Percent,AURORA_Mutations,AURORA_Silenced,AURORA_Expressed,AURORA_Percent,Mean_Pct,Diff,Total_Muts
DCAF13,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
KIF11,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
PCDHGA3,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
TEX2,3,0,3,0.0,10,1,9,10.0,5.0,10.0,13
PRRC2C,8,0,8,0.0,29,3,26,10.344827586206897,5.172413793103448,10.344827586206897,37
TRRAP,5,0,5,0.0,48,5,43,10.416666666666668,5.208333333333334,10.416666666666668,53
CENPF,6,0,6,0.0,19,2,17,10.526315789473683,5.263157894736842,10.526315789473683,25
MYH9,5,0,5,0.0,19,2,17,10.526315789473683,5.263157894736842,10.526315789473683,24
DIP2A,3,0,3,0.0,19,2,17,10.526315789473683,5.263157894736842,10.526315789473683,22
TPR,3,0,3,0.0,28,3,25,10.714285714285714,5.357142857142857,10.714285714285714,31
MACF1,16,0,16,0.0,83,9,74,10.843373493975903,5.421686746987952,10.843373493975903,99
HUWE1,4,0,4,0.0,45,5,40,11.11111111111111,5.555555555555555,11.11111111111111,49
DIAPH2,3,0,3,0.0,27,3,24,11.11111111111111,5.555555555555555,11.11111111111111,30
DOCK5,6,0,6,0.0,18,2,16,11.11111111111111,5.555555555555555,11.11111111111111,24
AUTS2,4,0,4,0.0,18,2,16,11.11111111111111,5.555555555555555,11.11111111111111,22
IFT172,3,0,3,0.0,18,2,16,11.11111111111111,5.555555555555555,11.11111111111111,21
POLR1A,5,0,5,0.0,9,1,8,11.11111111111111,5.555555555555555,11.11111111111111,14
EVC,3,0,3,0.0,9,1,8,11.11111111111111,5.555555555555555,11.11111111111111,12
CTNNB1,3,0,3,0.0,9,1,8,11.11111111111111,5.555555555555555,11.11111111111111,12
ITPK1,3,0,3,0.0,9,1,8,11.11111111111111,5.555555555555555,11.11111111111111,12
SYMPK,3,0,3,0.0,9,1,8,11.11111111111111,5.555555555555555,11.11111111111111,12
ZMYND8,3,0,3,0.0,26,3,23,11.538461538461538,5.769230769230769,11.538461538461538,29
ASH1L,8,0,8,0.0,25,3,22,12.0,6.0,12.0,33
PHIP,3,0,3,0.0,32,4,28,12.5,6.25,12.5,35
DNAJC13,5,0,5,0.0,24,3,21,12.5,6.25,12.5,29
CHD9,3,0,3,0.0,24,3,21,12.5,6.25,12.5,27
DOCK7,3,0,3,0.0,24,3,21,12.5,6.25,12.5,27
F8,3,0,3,0.0,16,2,14,12.5,6.25,12.5,19
COG1,4,0,4,0.0,8,1,7,12.5,6.25,12.5,12
ADNP,3,0,3,0.0,8,1,7,12.5,6.25,12.5,11
IFI16,3,0,3,0.0,8,1,7,12.5,6.25,12.5,11
KIAA0232,3,0,3,0.0,8,1,7,12.5,6.25,12.5,11
LCP2,3,0,3,0.0,8,1,7,12.5,6.25,12.5,11
PHF12,3,0,3,0.0,8,1,7,12.5,6.25,12.5,11
SRF,3,0,3,0.0,8,1,7,12.5,6.25,12.5,11
VCAN,5,0,5,0.0,23,3,20,13.043478260869565,6.521739130434782,13.043478260869565,28
ERAP1,4,0,4,0.0,23,3,20,13.043478260869565,6.521739130434782,13.043478260869565,27
DHX8,3,0,3,0.0,23,3,20,13.043478260869565,6.521739130434782,13.043478260869565,26
CEP192,3,0,3,0.0,23,3,20,13.043478260869565,6.521739130434782,13.043478260869565,26
ATR,3,0,3,0.0,23,3,20,13.043478260869565,6.521739130434782,13.043478260869565,26
CHD6,4,0,4,0.0,30,4,26,13.333333333333334,6.666666666666667,13.333333333333334,34
LRP1,3,0,3,0.0,30,4,26,13.333333333333334,6.666666666666667,13.333333333333334,33
COL18A1,5,0,5,0.0,15,2,13,13.333333333333334,6.666666666666667,13.333333333333334,20
EPHB4,4,0,4,0.0,15,2,13,13.333333333333334,6.666666666666667,13.333333333333334,19
NCOA1,4,0,4,0.0,15,2,13,13.333333333333334,6.666666666666667,13.333333333333334,19
FLNB,3,0,3,0.0,15,2,13,13.333333333333334,6.666666666666667,13.333333333333334,18
ZFC3H1,3,0,3,0.0,15,2,13,13.333333333333334,6.666666666666667,13.333333333333334,18
PLS1,3,0,3,0.0,15,2,13,13.333333333333334,6.666666666666667,13.333333333333334,18
STXBP5,3,0,3,0.0,15,2,13,13.333333333333334,6.666666666666667,13.333333333333334,18
ATG2B,3,0,3,0.0,22,3,19,13.636363636363637,6.818181818181818,13.636363636363637,25
AKAP9,4,0,4,0.0,43,6,37,13.953488372093023,6.976744186046512,13.953488372093023,47
BOD1L1,7,1,6,14.285714285714285,29,0,29,0.0,7.142857142857142,14.285714285714285,36
WNK1,3,0,3,0.0,28,4,24,14.285714285714285,7.142857142857142,14.285714285714285,31
ZEB2,3,0,3,0.0,21,3,18,14.285714285714285,7.142857142857142,14.285714285714285,24
RPGRIP1L,6,0,6,0.0,14,2,12,14.285714285714285,7.142857142857142,14.285714285714285,20
MYO9B,4,0,4,0.0,14,2,12,14.285714285714285,7.142857142857142,14.285714285714285,18
SPTAN1,4,0,4,0.0,14,2,12,14.285714285714285,7.142857142857142,14.285714285714285,18
RUNX2,4,0,4,0.0,14,2,12,14.285714285714285,7.142857142857142,14.285714285714285,18
ANKRD30A,3,0,3,0.0,14,2,12,14.285714285714285,7.142857142857142,14.285714285714285,17
NSD1,3,0,3,0.0,14,2,12,14.285714285714285,7.142857142857142,14.285714285714285,17
MARK4,3,0,3,0.0,14,2,12,14.285714285714285,7.142857142857142,14.285714285714285,17
GOLGA4,3,0,3,0.0,14,2,12,14.285714285714285,7.142857142857142,14.285714285714285,17
ILF3,5,0,5,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,12
C10orf88,4,0,4,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,11
AGO2,4,0,4,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,11
PHLDB2,4,0,4,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,11
CHST15,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
CHM,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
SAMD9,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
MAPK15,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
WIPI2,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
PCF11,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
SULF2,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
STT3B,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
TDRD5,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
TAOK2,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
CTC1,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
FAM120A,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
KAT2B,3,0,3,0.0,7,1,6,14.285714285714285,7.142857142857142,14.285714285714285,10
UBR1,3,0,3,0.0,27,4,23,14.814814814814811,7.407407407407406,14.814814814814811,30
MAP3K1,11,0,11,0.0,20,3,17,15.0,7.5,15.0,31
ITGAM,5,0,5,0.0,13,2,11,15.384615384615383,7.692307692307692,15.384615384615383,18
POGZ,3,0,3,0.0,13,2,11,15.384615384615383,7.692307692307692,15.384615384615383,16
DOCK6,7,0,7,0.0,19,3,16,15.789473684210526,7.894736842105263,15.789473684210526,26
TJP1,4,0,4,0.0,19,3,16,15.789473684210526,7.894736842105263,15.789473684210526,23
JAG1,4,0,4,0.0,19,3,16,15.789473684210526,7.894736842105263,15.789473684210526,23
EIF2AK4,3,0,3,0.0,19,3,16,15.789473684210526,7.894736842105263,15.789473684210526,22
BAZ2B,3,0,3,0.0,25,4,21,16.0,8.0,16.0,28
SIGLEC1,4,0,4,0.0,12,2,10,16.666666666666664,8.333333333333332,16.666666666666664,16
FOXA1,6,1,5,16.666666666666664,9,0,9,0.0,8.333333333333332,16.666666666666664,15
HBS1L,3,0,3,0.0,12,2,10,16.666666666666664,8.333333333333332,16.666666666666664,15
TTC14,5,0,5,0.0,6,1,5,16.666666666666664,8.333333333333332,16.666666666666664,11
MYBBP1A,4,0,4,0.0,6,1,5,16.666666666666664,8.333333333333332,16.666666666666664,10
IRS2,3,0,3,0.0,6,1,5,16.666666666666664,8.333333333333332,16.666666666666664,9
ZNF574,3,0,3,0.0,6,1,5,16.666666666666664,8.333333333333332,16.666666666666664,9
MAP1S,3,0,3,0.0,6,1,5,16.666666666666664,8.333333333333332,16.666666666666664,9
PHF2,3,0,3,0.0,6,1,5,16.666666666666664,8.333333333333332,16.666666666666664,9
THUMPD3,3,0,3,0.0,6,1,5,16.666666666666664,8.333333333333332,16.666666666666664,9
EDEM3,3,0,3,0.0,6,1,5,16.666666666666664,8.333333333333332,16.666666666666664,9
HEATR1,3,0,3,0.0,29,5,24,17.24137931034483,8.620689655172415,17.24137931034483,32
ABCA1,4,0,4,0.0,23,4,19,17.391304347826086,8.695652173913043,17.391304347826086,27
PLEKHG4B,4,0,4,0.0,235,41,194,17.4468085106383,8.72340425531915,17.4468085106383,239
ARID2,5,0,5,0.0,17,3,14,17.647058823529413,8.823529411764707,17.647058823529413,22
KIF13A,3,0,3,0.0,17,3,14,17.647058823529413,8.823529411764707,17.647058823529413,20
SHPRH,3,0,3,0.0,17,3,14,17.647058823529413,8.823529411764707,17.647058823529413,20
CSF1R,3,0,3,0.0,17,3,14,17.647058823529413,8.823529411764707,17.647058823529413,20
KMT2E,5,0,5,0.0,28,5,23,17.857142857142858,8.928571428571429,17.857142857142858,33
NCOR1,3,0,3,0.0,28,5,23,17.857142857142858,8.928571428571429,17.857142857142858,31
TNIK,3,0,3,0.0,28,5,23,17.857142857142858,8.928571428571429,17.857142857142858,31
RUNX1,5,0,5,0.0,22,4,18,18.181818181818183,9.090909090909092,18.181818181818183,27
LRBA,3,0,3,0.0,32,6,26,18.75,9.375,18.75,35
EHMT1,3,0,3,0.0,16,3,13,18.75,9.375,18.75,19
GOLGB1,3,0,3,0.0,16,3,13,18.75,9.375,18.75,19
ANKHD1,4,0,4,0.0,21,4,17,19.047619047619047,9.523809523809524,19.047619047619047,25
CKAP5,3,0,3,0.0,21,4,17,19.047619047619047,9.523809523809524,19.047619047619047,24
DMXL1,5,1,4,20.0,29,0,29,0.0,10.0,20.0,34
NCOR2,5,1,4,20.0,18,0,18,0.0,10.0,20.0,23
PTPRK,5,1,4,20.0,11,0,11,0.0,10.0,20.0,16
ALMS1,5,1,4,20.0,24,1,23,4.166666666666666,12.083333333333332,15.833333333333334,29
ASPM,6,1,5,16.666666666666664,36,3,33,8.333333333333332,12.499999999999998,8.333333333333332,42
FAT1,4,1,3,25.0,27,0,27,0.0,12.5,25.0,31
BRWD3,4,1,3,25.0,23,0,23,0.0,12.5,25.0,27
KIF13B,4,1,3,25.0,14,0,14,0.0,12.5,25.0,18
LTBP4,4,1,3,25.0,13,0,13,0.0,12.5,25.0,17
SCUBE2,4,1,3,25.0,13,0,13,0.0,12.5,25.0,17
CPAMD8,4,1,3,25.0,12,0,12,0.0,12.5,25.0,16
HIPK3,4,1,3,25.0,9,0,9,0.0,12.5,25.0,13
ZAP70,4,1,3,25.0,2,0,2,0.0,12.5,25.0,6
VPS13B,5,1,4,20.0,60,4,56,6.666666666666667,13.333333333333334,13.333333333333332,65
SSH2,5,1,4,20.0,14,1,13,7.142857142857142,13.571428571428571,12.857142857142858,19
DMXL2,5,1,4,20.0,34,3,31,8.823529411764707,14.411764705882353,11.176470588235293,39
FLT1,5,1,4,20.0,11,1,10,9.090909090909092,14.545454545454547,10.909090909090908,16
AKNA,5,1,4,20.0,9,1,8,11.11111111111111,15.555555555555555,8.88888888888889,14
INSR,4,1,3,25.0,14,1,13,7.142857142857142,16.07142857142857,17.857142857142858,18
PEAK1,4,1,3,25.0,26,2,24,7.6923076923076925,16.346153846153847,17.307692307692307,30
ADAMTS10,4,1,3,25.0,13,1,12,7.6923076923076925,16.346153846153847,17.307692307692307,17
COBLL1,4,1,3,25.0,12,1,11,8.333333333333332,16.666666666666664,16.666666666666668,16
HIVEP1,3,1,2,33.33333333333333,24,0,24,0.0,16.666666666666664,33.33333333333333,27
WDR7,3,1,2,33.33333333333333,19,0,19,0.0,16.666666666666664,33.33333333333333,22
PDGFRA,3,1,2,33.33333333333333,17,0,17,0.0,16.666666666666664,33.33333333333333,20
SMARCA1,3,1,2,33.33333333333333,16,0,16,0.0,16.666666666666664,33.33333333333333,19
COL5A3,3,1,2,33.33333333333333,14,0,14,0.0,16.666666666666664,33.33333333333333,17
TANGO6,3,1,2,33.33333333333333,13,0,13,0.0,16.666666666666664,33.33333333333333,16
EPPK1,3,1,2,33.33333333333333,13,0,13,0.0,16.666666666666664,33.33333333333333,16
SAMD12,3,1,2,33.33333333333333,12,0,12,0.0,16.666666666666664,33.33333333333333,15
SH2D3C,3,1,2,33.33333333333333,12,0,12,0.0,16.666666666666664,33.33333333333333,15
TIE1,3,1,2,33.33333333333333,11,0,11,0.0,16.666666666666664,33.33333333333333,14
DEPDC5,3,1,2,33.33333333333333,11,0,11,0.0,16.666666666666664,33.33333333333333,14
KANK4,3,1,2,33.33333333333333,10,0,10,0.0,16.666666666666664,33.33333333333333,13
GLI3,3,1,2,33.33333333333333,10,0,10,0.0,16.666666666666664,33.33333333333333,13
TBX15,3,1,2,33.33333333333333,8,0,8,0.0,16.666666666666664,33.33333333333333,11
ATP8B3,3,1,2,33.33333333333333,8,0,8,0.0,16.666666666666664,33.33333333333333,11
ALPK3,3,1,2,33.33333333333333,8,0,8,0.0,16.666666666666664,33.33333333333333,11
ZNF219,3,1,2,33.33333333333333,7,0,7,0.0,16.666666666666664,33.33333333333333,10
PTPRU,3,1,2,33.33333333333333,6,0,6,0.0,16.666666666666664,33.33333333333333,9
PRRG1,3,1,2,33.33333333333333,6,0,6,0.0,16.666666666666664,33.33333333333333,9
RNF8,3,1,2,33.33333333333333,6,0,6,0.0,16.666666666666664,33.33333333333333,9
ITGB6,3,1,2,33.33333333333333,6,0,6,0.0,16.666666666666664,33.33333333333333,9
COL28A1,3,1,2,33.33333333333333,6,0,6,0.0,16.666666666666664,33.33333333333333,9
TRO,3,1,2,33.33333333333333,5,0,5,0.0,16.666666666666664,33.33333333333333,8
TRMT44,3,1,2,33.33333333333333,5,0,5,0.0,16.666666666666664,33.33333333333333,8
CARD6,3,1,2,33.33333333333333,5,0,5,0.0,16.666666666666664,33.33333333333333,8
AMH,3,1,2,33.33333333333333,5,0,5,0.0,16.666666666666664,33.33333333333333,8
THRA,3,1,2,33.33333333333333,5,0,5,0.0,16.666666666666664,33.33333333333333,8
FAM83B,3,1,2,33.33333333333333,4,0,4,0.0,16.666666666666664,33.33333333333333,7
CPZ,3,1,2,33.33333333333333,4,0,4,0.0,16.666666666666664,33.33333333333333,7
UNKL,3,1,2,33.33333333333333,4,0,4,0.0,16.666666666666664,33.33333333333333,7
ELN,3,1,2,33.33333333333333,4,0,4,0.0,16.666666666666664,33.33333333333333,7
ESPN,3,1,2,33.33333333333333,3,0,3,0.0,16.666666666666664,33.33333333333333,6
BIN1,3,1,2,33.33333333333333,3,0,3,0.0,16.666666666666664,33.33333333333333,6
CASKIN2,3,1,2,33.33333333333333,3,0,3,0.0,16.666666666666664,33.33333333333333,6
PCDHA12,3,1,2,33.33333333333333,3,0,3,0.0,16.666666666666664,33.33333333333333,6
NPR2,3,1,2,33.33333333333333,2,0,2,0.0,16.666666666666664,33.33333333333333,5
SARM1,3,1,2,33.33333333333333,1,0,1,0.0,16.666666666666664,33.33333333333333,4
NOD2,3,1,2,33.33333333333333,1,0,1,0.0,16.666666666666664,33.33333333333333,4
CCDC170,3,1,2,33.33333333333333,1,0,1,0.0,16.666666666666664,33.33333333333333,4
RIN3,3,1,2,33.33333333333333,1,0,1,0.0,16.666666666666664,33.33333333333333,4
PRSS36,4,1,3,25.0,11,1,10,9.090909090909092,17.045454545454547,15.909090909090908,15
CILP,4,1,3,25.0,10,1,9,10.0,17.5,15.0,14
ITPR2,4,1,3,25.0,37,4,33,10.81081081081081,17.905405405405403,14.18918918918919,41
ZFYVE26,3,1,2,33.33333333333333,30,1,29,3.333333333333333,18.333333333333332,29.999999999999996,33
TRPS1,3,1,2,33.33333333333333,28,1,27,3.571428571428571,18.45238095238095,29.76190476190476,31
ADAMTS12,3,1,2,33.33333333333333,26,1,25,3.8461538461538463,18.589743589743588,29.487179487179482,29
CMYA5,6,2,4,33.33333333333333,24,1,23,4.166666666666666,18.749999999999996,29.166666666666664,30
NID1,3,1,2,33.33333333333333,16,1,15,6.25,19.791666666666664,27.08333333333333,19
AK9,3,1,2,33.33333333333333,30,2,28,6.666666666666667,19.999999999999996,26.66666666666666,33
NEO1,3,1,2,33.33333333333333,15,1,14,6.666666666666667,19.999999999999996,26.66666666666666,18
HELZ2,5,2,3,40.0,11,0,11,0.0,20.0,40.0,16
QRICH2,5,2,3,40.0,5,0,5,0.0,20.0,40.0,10
CCDC138,3,1,2,33.33333333333333,13,1,12,7.6923076923076925,20.51282051282051,25.641025641025635,16
FAM178B,3,1,2,33.33333333333333,12,1,11,8.333333333333332,20.83333333333333,24.999999999999996,15
PKD1,4,1,3,25.0,18,3,15,16.666666666666664,20.833333333333332,8.333333333333336,22
ZFP28,3,1,2,33.33333333333333,11,1,10,9.090909090909092,21.21212121212121,24.242424242424235,14
SLIT2,3,1,2,33.33333333333333,11,1,10,9.090909090909092,21.21212121212121,24.242424242424235,14
ARHGAP24,3,1,2,33.33333333333333,11,1,10,9.090909090909092,21.21212121212121,24.242424242424235,14
HACE1,3,1,2,33.33333333333333,11,1,10,9.090909090909092,21.21212121212121,24.242424242424235,14
AMBRA1,3,1,2,33.33333333333333,11,1,10,9.090909090909092,21.21212121212121,24.242424242424235,14
MEGF8,3,1,2,33.33333333333333,21,2,19,9.523809523809524,21.428571428571427,23.809523809523803,24
CCDC88B,3,1,2,33.33333333333333,10,1,9,10.0,21.666666666666664,23.33333333333333,13
RPS6KA3,3,1,2,33.33333333333333,10,1,9,10.0,21.666666666666664,23.33333333333333,13
KDR,3,1,2,33.33333333333333,10,1,9,10.0,21.666666666666664,23.33333333333333,13
CADPS2,3,1,2,33.33333333333333,19,2,17,10.526315789473683,21.929824561403507,22.807017543859644,22
ERCC6,3,1,2,33.33333333333333,17,2,15,11.76470588235294,22.549019607843135,21.568627450980387,20
PLCH2,3,1,2,33.33333333333333,8,1,7,12.5,22.916666666666664,20.83333333333333,11
HMCN1,13,5,8,38.46153846153847,77,6,71,7.792207792207792,23.12687312687313,30.669330669330677,90
DOCK8,3,1,2,33.33333333333333,23,3,20,13.043478260869565,23.188405797101446,20.289855072463766,26
CIT,3,1,2,33.33333333333333,36,5,31,13.88888888888889,23.611111111111107,19.44444444444444,39
WNK2,5,2,3,40.0,27,2,25,7.4074074074074066,23.703703703703702,32.592592592592595,32
DCHS1,3,1,2,33.33333333333333,14,2,12,14.285714285714285,23.809523809523807,19.047619047619044,17
SAMSN1,3,1,2,33.33333333333333,7,1,6,14.285714285714285,23.809523809523807,19.047619047619044,10
DNAH1,5,2,3,40.0,28,3,25,10.714285714285714,25.357142857142858,29.285714285714285,33
DOCK2,3,1,2,33.33333333333333,17,3,14,17.647058823529413,25.49019607843137,15.686274509803916,20
ABCA4,3,1,2,33.33333333333333,22,4,18,18.181818181818183,25.757575757575758,15.151515151515145,25
POLQ,3,1,2,33.33333333333333,32,6,26,18.75,26.041666666666664,14.583333333333329,35
