gene,Consistency_Category,Mean_Percent,Ratio_Diff,CPTAC_Percent,AURORA_Percent,CPTAC_Mutations,AURORA_Mutations
CEP350,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,34
AKAP13,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,33
FBN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,32
ASCC3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,28
MYOF,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,27
TRIP12,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,25
UBR2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,26
KMT2A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,24
ARID1A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,23
TNRC6A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,24
LEPR,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,24
NOTCH2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,23
DOCK10,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,23
SPTBN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,22
CEP250,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,21
SLC4A2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,20
TEP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,19
IFT140,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,20
DENND4C,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,21
ARHGEF11,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,20
ARHGEF12,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,20
DOCK1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,19
RIF1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,19
MON2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,16
GNAS,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,16
STAB1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,16
RECQL5,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,18
SCRIB,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,18
VPS8,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,17
ZNF638,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,14
GATA3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,8,11
CD163L1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,16
LAMB1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,16
XRN2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,15
CELSR2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,14
SMARCA2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,16
SIPA1L3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,13
DDR1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,16
ZNF106,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,14
MLLT10,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
PIK3C2B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
CABIN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
SETD1A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
TAF1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
INO80,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
BRD1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,14
DCTN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,14
DAPK1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,14
R3HDM2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,12
SLC25A13,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
KMT2B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,12
TAOK1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
SETD1B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,10
CSPP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
PTPRS,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
ARHGAP39,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
CPSF1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,12
ZNF185,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
C6orf132,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,9
MEGF6,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
PRRC2B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
PARP9,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
DOT1L,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,10
ERBB3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
TONSL,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
DENND4B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
ANKMY1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
CTTN,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
SIPA1L1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
DLG5,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
TNPO3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
KAZN,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
ANKRD11,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,8
SH3TC1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,11
KDM5C,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,9
ARHGAP35,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,9
NUMA1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,9
IKBKE,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,11
MORC2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,11
ACTN4,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
AP2A2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
SON,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
SCMH1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
NES,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
ROCK1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,7
TOR1AIP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
TTLL4,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
BCOR,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
SEC16A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
GRB7,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
CUL4B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,8
CEP120,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,8
BCL9L,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
EHBP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
FAM120C,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
RSAD1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
PELP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
SUZ12,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
WDTC1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
B4GALNT4,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
RB1CC1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
DDX50,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
SSRP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
GOLGA3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
CASD1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
ERBB2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
TMEM214,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
MRC2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
SP3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
LRIG1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
WDR26,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
MRPS27,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
ADAM19,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
NID2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
DDX42,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,5
CDK12,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,6
ZNF496,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,7
GALNS,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
GPRASP2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
KIFC2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
USP21,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
KIAA0319L,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
STAG2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
TBC1D1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
IWS1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,7
MTMR11,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
PLEKHM2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
NEURL1B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,7
CIC,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
ASAP2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
TFDP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,6
AGO1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
TRIM24,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
NMD3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
RNF31,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,6
MEN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,6
MCM6,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
PIGG,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
EVPL,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,6
NOL6,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
SF3B1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
PPL,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
PLXND1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
CRIM1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
FOXJ3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,7
DYM,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,6
TAB3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,6
GTSE1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,6
DENND5A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,6
AGRN,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,6
HPS4,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,6
FEM1C,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,6
LILRB4,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,5
NOTCH1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,4
CHML,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,6
AFF4,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,6
AKT1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,3
MAPK8,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
IGHMBP2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
JMJD6,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
CACTIN,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,4
ATXN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
ZNF592,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
DGKQ,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,4
ACE,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
PKD2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
ZNF862,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,4
GAA,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
RBM15,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,4
PIAS3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
PJA1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,5
KANSL1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,4
GBP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
GCDH,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
FLT3LG,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
GTF3C5,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
ISG20L2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
E2F6,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
ATXN1L,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,3
MCL1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
MAPKAPK2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
RB1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
NUFIP2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,3
REXO1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
CHD8,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
PPIP5K1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
SEMA4C,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
ADORA3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,3
WDR81,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
TRAPPC12,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
ZNF746,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
EMC3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
SOX9,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,3
UFL1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,4
PRKAR2B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
CDKN2A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
GPS2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,2
PTCD3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
SBF1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
ZNF350,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
DUS3L,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
THRAP3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
MEF2A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
TLR6,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
SPTLC1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
ETV3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
BRPF3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
SSH1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,2
ITPKC,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
JMJD8,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,3
PTOV1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
DNAAF2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
LDLRAD3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
RAI1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
SELPLG,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
CCDC120,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
KLHL5,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
GIMAP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
ABCG1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
CD93,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
NUP62,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
PLXNB2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
SSH3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
ITGB5,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
TP53I13,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
TRIM14,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
JAG2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,2
RRAGC,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
MLLT6,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
PDXDC1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
SLAIN2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
MAP2K7,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
CDR2L,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
C5AR1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
INPP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
IP6K1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
ZNF813,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
ZNF513,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
FLOT1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,1
VPS13D,1. Highly Consistent & Exposed,1.0638297872340425,2.127659574468085,0.0,2.127659574468085,3,47
MDN1,1. Highly Consistent & Exposed,1.2195121951219512,2.4390243902439024,0.0,2.4390243902439024,4,41
USP34,1. Highly Consistent & Exposed,1.282051282051282,2.564102564102564,0.0,2.564102564102564,3,39
BIRC6,1. Highly Consistent & Exposed,1.4705882352941175,2.941176470588235,0.0,2.941176470588235,6,34
NBAS,1. Highly Consistent & Exposed,1.4705882352941175,2.941176470588235,0.0,2.941176470588235,3,34
SRCAP,1. Highly Consistent & Exposed,1.6129032258064515,3.225806451612903,0.0,3.225806451612903,5,31
HTT,1. Highly Consistent & Exposed,1.6666666666666665,3.333333333333333,0.0,3.333333333333333,4,30
CNOT1,1. Highly Consistent & Exposed,1.6666666666666665,3.333333333333333,0.0,3.333333333333333,3,30
TRIO,1. Highly Consistent & Exposed,1.7857142857142856,3.571428571428571,0.0,3.571428571428571,6,28
LAMA3,1. Highly Consistent & Exposed,1.7857142857142856,3.571428571428571,0.0,3.571428571428571,5,28
RNF213,1. Highly Consistent & Exposed,1.8518518518518516,3.7037037037037033,0.0,3.7037037037037033,8,27
AHNAK,1. Highly Consistent & Exposed,1.9230769230769231,3.8461538461538463,0.0,3.8461538461538463,12,26
ACACA,1. Highly Consistent & Exposed,1.9230769230769231,3.8461538461538463,0.0,3.8461538461538463,4,26
VPS13C,1. Highly Consistent & Exposed,2.0,4.0,0.0,4.0,6,50
SMG1,1. Highly Consistent & Exposed,2.0,4.0,0.0,4.0,3,25
EP400,1. Highly Consistent & Exposed,2.083333333333333,4.166666666666666,0.0,4.166666666666666,6,24
MTOR,1. Highly Consistent & Exposed,2.083333333333333,4.166666666666666,0.0,4.166666666666666,3,24
CNST,1. Highly Consistent & Exposed,2.083333333333333,4.166666666666666,0.0,4.166666666666666,3,24
HERC2,1. Highly Consistent & Exposed,2.1739130434782608,4.3478260869565215,0.0,4.3478260869565215,4,23
PCNT,1. Highly Consistent & Exposed,2.272727272727273,4.545454545454546,0.0,4.545454545454546,4,22
TCF20,1. Highly Consistent & Exposed,2.272727272727273,4.545454545454546,0.0,4.545454545454546,3,22
ATN1,1. Highly Consistent & Exposed,2.272727272727273,4.545454545454546,0.0,4.545454545454546,3,22
TRAPPC9,1. Highly Consistent & Exposed,2.380952380952381,4.761904761904762,0.0,4.761904761904762,4,21
TRANK1,1. Highly Consistent & Exposed,2.380952380952381,4.761904761904762,0.0,4.761904761904762,4,21
ZZEF1,1. Highly Consistent & Exposed,2.380952380952381,4.761904761904762,0.0,4.761904761904762,4,21
LAMA4,2. Stable Target,2.5,5.0,0.0,5.0,3,20
TNK2,2. Stable Target,2.5,5.0,0.0,5.0,3,20
DYNC1H1,2. Stable Target,2.564102564102564,5.128205128205128,0.0,5.128205128205128,4,39
BTAF1,2. Stable Target,2.631578947368421,5.263157894736842,0.0,5.263157894736842,4,19
VAV3,2. Stable Target,2.631578947368421,5.263157894736842,0.0,5.263157894736842,3,19
ABCC1,2. Stable Target,2.631578947368421,5.263157894736842,0.0,5.263157894736842,3,19
MYCBP2,2. Stable Target,2.7777777777777777,5.555555555555555,0.0,5.555555555555555,3,54
PDCD11,2. Stable Target,2.7777777777777777,5.555555555555555,0.0,5.555555555555555,3,18
SETX,2. Stable Target,2.7777777777777777,5.555555555555555,0.0,5.555555555555555,3,18
UBR4,2. Stable Target,2.8846153846153846,5.769230769230769,0.0,5.769230769230769,7,52
PIK3CA,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,40,17
AHCTF1,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,4,34
NIPBL,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,8,17
MAP4K4,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,4,17
SNAPC4,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,4,17
UBAP2,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,3,17
TRPM2,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,3,17
PIK3C2A,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,3,17
PALB2,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,3,17
COL7A1,2. Stable Target,2.941176470588235,5.88235294117647,0.0,5.88235294117647,3,17
CROCC,2. Stable Target,3.125,6.25,0.0,6.25,6,16
THOC2,2. Stable Target,3.125,6.25,0.0,6.25,4,16
EIF4G1,2. Stable Target,3.125,6.25,0.0,6.25,3,16
PLK3,2. Stable Target,3.125,6.25,0.0,6.25,3,16
SPEN,2. Stable Target,3.3333333333333335,6.666666666666667,0.0,6.666666666666667,8,30
TRIOBP,2. Stable Target,3.3333333333333335,6.666666666666667,0.0,6.666666666666667,6,15
CAMTA1,2. Stable Target,3.3333333333333335,6.666666666666667,0.0,6.666666666666667,4,15
HERC1,2. Stable Target,3.488372093023256,6.976744186046512,0.0,6.976744186046512,11,43
PLEC,2. Stable Target,3.488372093023256,6.976744186046512,0.0,6.976744186046512,5,43
LAMA2,2. Stable Target,3.571428571428571,7.142857142857142,0.0,7.142857142857142,4,42
SBNO2,2. Stable Target,3.571428571428571,7.142857142857142,0.0,7.142857142857142,4,14
ZMYM3,2. Stable Target,3.571428571428571,7.142857142857142,0.0,7.142857142857142,3,14
USP16,2. Stable Target,3.571428571428571,7.142857142857142,0.0,7.142857142857142,3,14
XRN1,2. Stable Target,3.7037037037037033,7.4074074074074066,0.0,7.4074074074074066,3,27
SZT2,2. Stable Target,3.8461538461538463,7.6923076923076925,0.0,7.6923076923076925,4,26
KAT6A,2. Stable Target,3.8461538461538463,7.6923076923076925,0.0,7.6923076923076925,3,26
ZBTB41,2. Stable Target,3.8461538461538463,7.6923076923076925,0.0,7.6923076923076925,3,26
FBRSL1,2. Stable Target,3.8461538461538463,7.6923076923076925,0.0,7.6923076923076925,3,13
ZFP64,2. Stable Target,3.8461538461538463,7.6923076923076925,0.0,7.6923076923076925,3,13
GON4L,2. Stable Target,3.8461538461538463,7.6923076923076925,0.0,7.6923076923076925,3,13
HECTD1,2. Stable Target,4.0,8.0,0.0,8.0,5,25
KMT2D,2. Stable Target,4.166666666666666,8.333333333333332,0.0,8.333333333333332,6,24
ARHGEF17,2. Stable Target,4.166666666666666,8.333333333333332,0.0,8.333333333333332,4,12
TBCE,2. Stable Target,4.166666666666666,8.333333333333332,0.0,8.333333333333332,3,12
NUP160,2. Stable Target,4.166666666666666,8.333333333333332,0.0,8.333333333333332,3,12
SYNE2,2. Stable Target,4.320987654320987,8.641975308641975,0.0,8.641975308641975,3,81
WDFY3,2. Stable Target,4.444444444444445,8.88888888888889,0.0,8.88888888888889,5,45
NBPF1,2. Stable Target,4.545454545454546,9.090909090909092,0.0,9.090909090909092,4,44
