Tumor_Sample_Barcode	Group	Hugo_Symbol	Expression_FPKM
CPT000814	High Silencing	B2M	11.2081
CPT000814	High Silencing	HLAA	11.5193
CPT000814	High Silencing	HLAB	11.5578
CPT000814	High Silencing	HLAC	11.5578
CPT001846	High Silencing	B2M	10.8256
CPT001846	High Silencing	HLAA	10.5616
CPT001846	High Silencing	HLAB	10.2631
CPT001846	High Silencing	HLAC	8.8333
X01BR001	High Silencing	B2M	9.9929
X01BR001	High Silencing	HLAA	9.0936
X01BR001	High Silencing	HLAB	10.2574
X01BR001	High Silencing	HLAC	10.2574
X01BR008	High Silencing	B2M	12.3479
X01BR008	High Silencing	HLAA	
X01BR008	High Silencing	HLAB	12.2885
X01BR008	High Silencing	HLAC	12.2885
X01BR009	High Silencing	B2M	11.6783
X01BR009	High Silencing	HLAA	10.6851
X01BR009	High Silencing	HLAB	10.3998
X01BR009	High Silencing	HLAC	10.3998
X01BR010	High Silencing	B2M	9.9924
X01BR010	High Silencing	HLAA	8.1576
X01BR010	High Silencing	HLAB	9.516
X01BR010	High Silencing	HLAC	9.516
X01BR015	Low Silencing	B2M	11.4012
X01BR015	Low Silencing	HLAA	10.3275
X01BR015	Low Silencing	HLAB	11.1097
X01BR015	Low Silencing	HLAC	11.1097
X01BR017	High Silencing	B2M	11.7925
X01BR017	High Silencing	HLAA	9.6213
X01BR017	High Silencing	HLAB	10.8762
X01BR017	High Silencing	HLAC	10.8762
X01BR018	Low Silencing	B2M	12.0411
X01BR018	Low Silencing	HLAA	10.6385
X01BR018	Low Silencing	HLAB	11.2672
X01BR018	Low Silencing	HLAC	11.2672
X01BR020	Low Silencing	B2M	11.3433
X01BR020	Low Silencing	HLAA	9.723
X01BR020	Low Silencing	HLAB	10.7385
X01BR020	Low Silencing	HLAC	10.7385
X01BR023	Low Silencing	B2M	9.1713
X01BR023	Low Silencing	HLAA	7.2089
X01BR023	Low Silencing	HLAB	9.0899
X01BR023	Low Silencing	HLAC	9.0899
X01BR025	High Silencing	B2M	10.9691
X01BR025	High Silencing	HLAA	8.2929
X01BR025	High Silencing	HLAB	9.1537
X01BR025	High Silencing	HLAC	9.1537
X01BR026	High Silencing	B2M	11.6273
X01BR026	High Silencing	HLAA	10.2372
X01BR026	High Silencing	HLAB	10.4517
X01BR026	High Silencing	HLAC	10.4517
X01BR027	Low Silencing	B2M	10.6234
X01BR027	Low Silencing	HLAA	9.1452
X01BR027	Low Silencing	HLAB	9.477
X01BR027	Low Silencing	HLAC	9.477
X01BR030	Low Silencing	B2M	12.3238
X01BR030	Low Silencing	HLAA	10.3272
X01BR030	Low Silencing	HLAB	11.554
X01BR030	Low Silencing	HLAC	11.554
X01BR031	Low Silencing	B2M	11.3073
X01BR031	Low Silencing	HLAA	10.4219
X01BR031	Low Silencing	HLAB	11.0883
X01BR031	Low Silencing	HLAC	11.0883
X01BR032	Low Silencing	B2M	11.2567
X01BR032	Low Silencing	HLAA	10.5952
X01BR032	Low Silencing	HLAB	10.9922
X01BR032	Low Silencing	HLAC	10.9922
X01BR033	High Silencing	B2M	11.4578
X01BR033	High Silencing	HLAA	9.0616
X01BR033	High Silencing	HLAB	10.2425
X01BR033	High Silencing	HLAC	10.2425
X01BR040	Low Silencing	B2M	12.428
X01BR040	Low Silencing	HLAA	11.787
X01BR040	Low Silencing	HLAB	
X01BR040	Low Silencing	HLAC	
X01BR042	Low Silencing	B2M	12.0979
X01BR042	Low Silencing	HLAA	11.1833
X01BR042	Low Silencing	HLAB	11.2316
X01BR042	Low Silencing	HLAC	11.2316
X01BR043	High Silencing	B2M	11.8617
X01BR043	High Silencing	HLAA	10.3997
X01BR043	High Silencing	HLAB	10.6589
X01BR043	High Silencing	HLAC	10.6589
X03BR002	Low Silencing	B2M	10.6378
X03BR002	Low Silencing	HLAA	9.5162
X03BR002	Low Silencing	HLAB	9.1076
X03BR002	Low Silencing	HLAC	9.1076
X03BR004	Low Silencing	B2M	10.6816
X03BR004	Low Silencing	HLAA	7.7346
X03BR004	Low Silencing	HLAB	9.6294
X03BR004	Low Silencing	HLAC	9.6294
X03BR005	Low Silencing	B2M	10.9397
X03BR005	Low Silencing	HLAA	9.1124
X03BR005	Low Silencing	HLAB	10.3043
X03BR005	Low Silencing	HLAC	10.3043
X03BR006	High Silencing	B2M	9.7285
X03BR006	High Silencing	HLAA	9.0494
X03BR006	High Silencing	HLAB	10.5798
X03BR006	High Silencing	HLAC	10.5798
X03BR010	High Silencing	B2M	10.7253
X03BR010	High Silencing	HLAA	7.9882
X03BR010	High Silencing	HLAB	9.9003
X03BR010	High Silencing	HLAC	9.9003
X03BR011	Low Silencing	B2M	10.5555
X03BR011	Low Silencing	HLAA	8.0631
X03BR011	Low Silencing	HLAB	8.8329
X03BR011	Low Silencing	HLAC	8.8329
X03BR013	Low Silencing	B2M	11.2982
X03BR013	Low Silencing	HLAA	9.1065
X03BR013	Low Silencing	HLAB	10.5963
X03BR013	Low Silencing	HLAC	10.5963
X05BR001	High Silencing	B2M	12.4799
X05BR001	High Silencing	HLAA	9.8534
X05BR001	High Silencing	HLAB	11.1551
X05BR001	High Silencing	HLAC	11.1551
X05BR003	Low Silencing	B2M	11.1414
X05BR003	Low Silencing	HLAA	9.145
X05BR003	Low Silencing	HLAB	9.6662
X05BR003	Low Silencing	HLAC	9.6662
X05BR004	Low Silencing	B2M	10.7333
X05BR004	Low Silencing	HLAA	8.3443
X05BR004	Low Silencing	HLAB	9.2184
X05BR004	Low Silencing	HLAC	9.2184
X05BR005	High Silencing	B2M	10.6185
X05BR005	High Silencing	HLAA	9.3898
X05BR005	High Silencing	HLAB	9.6745
X05BR005	High Silencing	HLAC	9.6745
X05BR009	Low Silencing	B2M	10.8465
X05BR009	Low Silencing	HLAA	9.5609
X05BR009	Low Silencing	HLAB	10.006
X05BR009	Low Silencing	HLAC	10.006
X05BR016	Low Silencing	B2M	10.0741
X05BR016	Low Silencing	HLAA	6.5501
X05BR016	Low Silencing	HLAB	9.2251
X05BR016	Low Silencing	HLAC	9.2251
X05BR026	High Silencing	B2M	11.2416
X05BR026	High Silencing	HLAA	9.2031
X05BR026	High Silencing	HLAB	10.3821
X05BR026	High Silencing	HLAC	10.3821
X05BR029	Low Silencing	B2M	10.3265
X05BR029	Low Silencing	HLAA	9.3878
X05BR029	Low Silencing	HLAB	9.5677
X05BR029	Low Silencing	HLAC	9.5677
X05BR038	Low Silencing	B2M	11.4324
X05BR038	Low Silencing	HLAA	9.4188
X05BR038	Low Silencing	HLAB	10.8465
X05BR038	Low Silencing	HLAC	10.8465
X05BR042	High Silencing	B2M	10.655
X05BR042	High Silencing	HLAA	9.7765
X05BR042	High Silencing	HLAB	10.3107
X05BR042	High Silencing	HLAC	10.3107
X05BR043	High Silencing	B2M	11.6829
X05BR043	High Silencing	HLAA	10.5735
X05BR043	High Silencing	HLAB	10.6111
X05BR043	High Silencing	HLAC	10.6111
X05BR044	High Silencing	B2M	10.5226
X05BR044	High Silencing	HLAA	8.3766
X05BR044	High Silencing	HLAB	9.867
X05BR044	High Silencing	HLAC	9.867
X05BR045	High Silencing	B2M	9.8295
X05BR045	High Silencing	HLAA	10.3112
X05BR045	High Silencing	HLAB	10.9876
X05BR045	High Silencing	HLAC	10.9876
X06BR003	High Silencing	B2M	11.3832
X06BR003	High Silencing	HLAA	8.7217
X06BR003	High Silencing	HLAB	10.5602
X06BR003	High Silencing	HLAC	10.5602
X06BR005	Low Silencing	B2M	11.615
X06BR005	Low Silencing	HLAA	9.6693
X06BR005	Low Silencing	HLAB	10.4624
X06BR005	Low Silencing	HLAC	10.4624
X06BR006	High Silencing	B2M	10.8362
X06BR006	High Silencing	HLAA	8.9317
X06BR006	High Silencing	HLAB	10.2482
X06BR006	High Silencing	HLAC	10.2482
X06BR014	Low Silencing	B2M	10.2516
X06BR014	Low Silencing	HLAA	8.6602
X06BR014	Low Silencing	HLAB	9.8303
X06BR014	Low Silencing	HLAC	9.8303
X09BR001	High Silencing	B2M	8.2116
X09BR001	High Silencing	HLAA	8.5135
X09BR001	High Silencing	HLAB	8.0481
X09BR001	High Silencing	HLAC	8.0481
X09BR004	High Silencing	B2M	8.9942
X09BR004	High Silencing	HLAA	7.6216
X09BR004	High Silencing	HLAB	8.2431
X09BR004	High Silencing	HLAC	8.2431
X09BR005	Low Silencing	B2M	11.7999
X09BR005	Low Silencing	HLAA	9.7037
X09BR005	Low Silencing	HLAB	9.6765
X09BR005	Low Silencing	HLAC	9.6765
X09BR007	Low Silencing	B2M	11.1917
X09BR007	Low Silencing	HLAA	8.8605
X09BR007	Low Silencing	HLAB	10.1177
X09BR007	Low Silencing	HLAC	10.1177
X11BR003	Low Silencing	B2M	12.6997
X11BR003	Low Silencing	HLAA	10.8966
X11BR003	Low Silencing	HLAB	12.2281
X11BR003	Low Silencing	HLAC	12.2281
X11BR004	High Silencing	B2M	13.2783
X11BR004	High Silencing	HLAA	11.4171
X11BR004	High Silencing	HLAB	11.7643
X11BR004	High Silencing	HLAC	11.7643
X11BR006	High Silencing	B2M	10.9726
X11BR006	High Silencing	HLAA	8.5929
X11BR006	High Silencing	HLAB	9.6638
X11BR006	High Silencing	HLAC	9.6638
X11BR009	High Silencing	B2M	11.2558
X11BR009	High Silencing	HLAA	8.6411
X11BR009	High Silencing	HLAB	9.9645
X11BR009	High Silencing	HLAC	9.9645
X11BR010	Low Silencing	B2M	12.0451
X11BR010	Low Silencing	HLAA	10.2769
X11BR010	Low Silencing	HLAB	11.5571
X11BR010	Low Silencing	HLAC	11.5571
X11BR011	Low Silencing	B2M	12.1251
X11BR011	Low Silencing	HLAA	9.9283
X11BR011	Low Silencing	HLAB	11.3891
X11BR011	Low Silencing	HLAC	11.3891
X11BR012	High Silencing	B2M	10.9723
X11BR012	High Silencing	HLAA	9.8292
X11BR012	High Silencing	HLAB	10.0521
X11BR012	High Silencing	HLAC	10.0521
X11BR013	Low Silencing	B2M	10.2414
X11BR013	Low Silencing	HLAA	7.0495
X11BR013	Low Silencing	HLAB	8.7636
X11BR013	Low Silencing	HLAC	8.7636
X11BR014	High Silencing	B2M	11.2952
X11BR014	High Silencing	HLAA	9.6409
X11BR014	High Silencing	HLAB	10.1343
X11BR014	High Silencing	HLAC	10.1343
X11BR015	High Silencing	B2M	9.5575
X11BR015	High Silencing	HLAA	7.5389
X11BR015	High Silencing	HLAB	9.3329
X11BR015	High Silencing	HLAC	9.3329
X11BR016	High Silencing	B2M	11.058
X11BR016	High Silencing	HLAA	9.8528
X11BR016	High Silencing	HLAB	11.1246
X11BR016	High Silencing	HLAC	11.1246
X11BR017	High Silencing	B2M	11.7622
X11BR017	High Silencing	HLAA	10.2355
X11BR017	High Silencing	HLAB	11.2084
X11BR017	High Silencing	HLAC	11.2084
X11BR018	High Silencing	B2M	11.6432
X11BR018	High Silencing	HLAA	9.5701
X11BR018	High Silencing	HLAB	10.6452
X11BR018	High Silencing	HLAC	10.6452
X11BR019	High Silencing	B2M	11.2995
X11BR019	High Silencing	HLAA	10.3198
X11BR019	High Silencing	HLAB	10.662
X11BR019	High Silencing	HLAC	10.662
X11BR020	Low Silencing	B2M	12.2353
X11BR020	Low Silencing	HLAA	11.0894
X11BR020	Low Silencing	HLAB	11.7249
X11BR020	Low Silencing	HLAC	11.7249
X11BR022	High Silencing	B2M	11.2671
X11BR022	High Silencing	HLAA	8.7938
X11BR022	High Silencing	HLAB	10.4429
X11BR022	High Silencing	HLAC	10.4429
X11BR023	Low Silencing	B2M	12.7459
X11BR023	Low Silencing	HLAA	11.1158
X11BR023	Low Silencing	HLAB	11.9396
X11BR023	Low Silencing	HLAC	11.9396
X11BR024	Low Silencing	B2M	12.6606
X11BR024	Low Silencing	HLAA	11.2718
X11BR024	Low Silencing	HLAB	11.9479
X11BR024	Low Silencing	HLAC	11.9479
X11BR025	High Silencing	B2M	9.5998
X11BR025	High Silencing	HLAA	7.3068
X11BR025	High Silencing	HLAB	8.9178
X11BR025	High Silencing	HLAC	8.9178
X11BR027	Low Silencing	B2M	11.2138
X11BR027	Low Silencing	HLAA	10.1062
X11BR027	Low Silencing	HLAB	10.1784
X11BR027	Low Silencing	HLAC	10.1784
X11BR028	High Silencing	B2M	10.2203
X11BR028	High Silencing	HLAA	7.9404
X11BR028	High Silencing	HLAB	9.2217
X11BR028	High Silencing	HLAC	9.2217
X11BR030	Low Silencing	B2M	12.4122
X11BR030	Low Silencing	HLAA	10.3307
X11BR030	Low Silencing	HLAB	11.5028
X11BR030	Low Silencing	HLAC	11.5028
X11BR031	Low Silencing	B2M	11.774
X11BR031	Low Silencing	HLAA	9.9025
X11BR031	Low Silencing	HLAB	11.1275
X11BR031	Low Silencing	HLAC	11.1275
X11BR032	High Silencing	B2M	11.7561
X11BR032	High Silencing	HLAA	9.1786
X11BR032	High Silencing	HLAB	10.3281
X11BR032	High Silencing	HLAC	10.3281
X11BR036	High Silencing	B2M	9.4525
X11BR036	High Silencing	HLAA	7.4206
X11BR036	High Silencing	HLAB	8.4044
X11BR036	High Silencing	HLAC	8.4044
X11BR038	Low Silencing	B2M	11.1977
X11BR038	Low Silencing	HLAA	9.1904
X11BR038	Low Silencing	HLAB	10.9962
X11BR038	Low Silencing	HLAC	10.9962
X11BR040	High Silencing	B2M	10.9123
X11BR040	High Silencing	HLAA	8.8943
X11BR040	High Silencing	HLAB	10.3293
X11BR040	High Silencing	HLAC	10.3293
X11BR042	High Silencing	B2M	11.4849
X11BR042	High Silencing	HLAA	8.8429
X11BR042	High Silencing	HLAB	10.1392
X11BR042	High Silencing	HLAC	10.1392
X11BR043	High Silencing	B2M	11.974
X11BR043	High Silencing	HLAA	10.2882
X11BR043	High Silencing	HLAB	11.0197
X11BR043	High Silencing	HLAC	11.0197
X11BR044	High Silencing	B2M	11.4617
X11BR044	High Silencing	HLAA	9.9032
X11BR044	High Silencing	HLAB	10.5016
X11BR044	High Silencing	HLAC	10.5016
X11BR047	Low Silencing	B2M	11.2544
X11BR047	Low Silencing	HLAA	9.4092
X11BR047	Low Silencing	HLAB	10.5531
X11BR047	Low Silencing	HLAC	10.5531
X11BR049	Low Silencing	B2M	12.4144
X11BR049	Low Silencing	HLAA	10.0838
X11BR049	Low Silencing	HLAB	11.5772
X11BR049	Low Silencing	HLAC	11.5772
X11BR050	High Silencing	B2M	12.2526
X11BR050	High Silencing	HLAA	9.3254
X11BR050	High Silencing	HLAB	10.8262
X11BR050	High Silencing	HLAC	10.8262
X11BR051	High Silencing	B2M	11.6236
X11BR051	High Silencing	HLAA	9.6849
X11BR051	High Silencing	HLAB	10.4948
X11BR051	High Silencing	HLAC	10.4948
X11BR053	Low Silencing	B2M	11.7041
X11BR053	Low Silencing	HLAA	8.3957
X11BR053	Low Silencing	HLAB	9.7991
X11BR053	Low Silencing	HLAC	9.7991
X11BR054	Low Silencing	B2M	11.9923
X11BR054	Low Silencing	HLAA	10.3581
X11BR054	Low Silencing	HLAB	12.0632
X11BR054	Low Silencing	HLAC	12.0632
X11BR055	Low Silencing	B2M	11.0867
X11BR055	Low Silencing	HLAA	9.291
X11BR055	Low Silencing	HLAB	10.195
X11BR055	Low Silencing	HLAC	10.195
X11BR056	Low Silencing	B2M	11.5785
X11BR056	Low Silencing	HLAA	8.911
X11BR056	Low Silencing	HLAB	10.0501
X11BR056	Low Silencing	HLAC	10.0501
X11BR058	Low Silencing	B2M	10.9943
X11BR058	Low Silencing	HLAA	9.5149
X11BR058	Low Silencing	HLAB	9.9653
X11BR058	Low Silencing	HLAC	9.9653
X11BR059	Low Silencing	B2M	10.8388
X11BR059	Low Silencing	HLAA	8.7268
X11BR059	Low Silencing	HLAB	9.5894
X11BR059	Low Silencing	HLAC	9.5894
X11BR060	High Silencing	B2M	12.1447
X11BR060	High Silencing	HLAA	10.7252
X11BR060	High Silencing	HLAB	10.8828
X11BR060	High Silencing	HLAC	10.8828
X11BR072	Low Silencing	B2M	11.4266
X11BR072	Low Silencing	HLAA	10.288
X11BR072	Low Silencing	HLAB	10.3338
X11BR072	Low Silencing	HLAC	10.3338
X11BR073	High Silencing	B2M	11.624
X11BR073	High Silencing	HLAA	9.3296
X11BR073	High Silencing	HLAB	10.9295
X11BR073	High Silencing	HLAC	10.9295
X11BR074	Low Silencing	B2M	11.1534
X11BR074	Low Silencing	HLAA	10.168
X11BR074	Low Silencing	HLAB	10.6742
X11BR074	Low Silencing	HLAC	10.6742
X11BR075	Low Silencing	B2M	11.1071
X11BR075	Low Silencing	HLAA	8.8657
X11BR075	Low Silencing	HLAB	9.2412
X11BR075	Low Silencing	HLAC	9.2412
X11BR080	Low Silencing	B2M	12.7904
X11BR080	Low Silencing	HLAA	11.2403
X11BR080	Low Silencing	HLAB	12.1291
X11BR080	Low Silencing	HLAC	12.1291
X13BR009	High Silencing	B2M	11.0861
X13BR009	High Silencing	HLAA	9.5766
X13BR009	High Silencing	HLAB	10.6541
X13BR009	High Silencing	HLAC	10.6541
X14BR005	High Silencing	B2M	10.8896
X14BR005	High Silencing	HLAA	9.7022
X14BR005	High Silencing	HLAB	10.819
X14BR005	High Silencing	HLAC	10.819
X14BR008	Low Silencing	B2M	10.8495
X14BR008	Low Silencing	HLAA	9.0335
X14BR008	Low Silencing	HLAB	10.1589
X14BR008	Low Silencing	HLAC	10.1589
X14BR014	High Silencing	B2M	10.4755
X14BR014	High Silencing	HLAA	8.3373
X14BR014	High Silencing	HLAB	9.6385
X14BR014	High Silencing	HLAC	9.6385
X15BR003	Low Silencing	B2M	10.7626
X15BR003	Low Silencing	HLAA	8.9808
X15BR003	Low Silencing	HLAB	10.1536
X15BR003	Low Silencing	HLAC	10.1536
X16BR012	Low Silencing	B2M	10.8788
X16BR012	Low Silencing	HLAA	9.2721
X16BR012	Low Silencing	HLAB	9.834
X16BR012	Low Silencing	HLAC	9.834
X18BR002	Low Silencing	B2M	12.2541
X18BR002	Low Silencing	HLAA	10.6531
X18BR002	Low Silencing	HLAB	10.9892
X18BR002	Low Silencing	HLAC	10.9892
X18BR003	Low Silencing	B2M	12.0039
X18BR003	Low Silencing	HLAA	9.7376
X18BR003	Low Silencing	HLAB	10.8885
X18BR003	Low Silencing	HLAC	10.8885
X18BR004	Low Silencing	B2M	10.6388
X18BR004	Low Silencing	HLAA	7.969
X18BR004	Low Silencing	HLAB	10.0556
X18BR004	Low Silencing	HLAC	10.0556
X18BR006	Low Silencing	B2M	11.2184
X18BR006	Low Silencing	HLAA	9.3479
X18BR006	Low Silencing	HLAB	10.4687
X18BR006	Low Silencing	HLAC	10.4687
X18BR007	High Silencing	B2M	11.3319
X18BR007	High Silencing	HLAA	9.1353
X18BR007	High Silencing	HLAB	10.3176
X18BR007	High Silencing	HLAC	10.3176
X18BR009	Low Silencing	B2M	11.3009
X18BR009	Low Silencing	HLAA	9.7624
X18BR009	Low Silencing	HLAB	10.3837
X18BR009	Low Silencing	HLAC	10.3837
X18BR010	High Silencing	B2M	11.1255
X18BR010	High Silencing	HLAA	9.1765
X18BR010	High Silencing	HLAB	9.7997
X18BR010	High Silencing	HLAC	9.7997
X18BR016	Low Silencing	B2M	10.604
X18BR016	Low Silencing	HLAA	8.2523
X18BR016	Low Silencing	HLAB	10.0514
X18BR016	Low Silencing	HLAC	10.0514
X18BR017	High Silencing	B2M	10.9424
X18BR017	High Silencing	HLAA	8.4064
X18BR017	High Silencing	HLAB	9.9275
X18BR017	High Silencing	HLAC	9.9275
X18BR019	High Silencing	B2M	11.3173
X18BR019	High Silencing	HLAA	9.5022
X18BR019	High Silencing	HLAB	10.9377
X18BR019	High Silencing	HLAC	10.9377
X20BR001	High Silencing	B2M	13.5994
X20BR001	High Silencing	HLAA	10.9234
X20BR001	High Silencing	HLAB	11.7742
X20BR001	High Silencing	HLAC	11.7742
X20BR002	High Silencing	B2M	10.3527
X20BR002	High Silencing	HLAA	7.5485
X20BR002	High Silencing	HLAB	9.9993
X20BR002	High Silencing	HLAC	9.9993
X20BR005	Low Silencing	B2M	11.022
X20BR005	Low Silencing	HLAA	7.2821
X20BR005	Low Silencing	HLAB	9.3285
X20BR005	Low Silencing	HLAC	9.3285
X20BR006	Low Silencing	B2M	11.1689
X20BR006	Low Silencing	HLAA	8.5427
X20BR006	Low Silencing	HLAB	9.4152
X20BR006	Low Silencing	HLAC	9.4152
X20BR007	High Silencing	B2M	11.9738
X20BR007	High Silencing	HLAA	8.8933
X20BR007	High Silencing	HLAB	9.2611
X20BR007	High Silencing	HLAC	9.2611
X20BR008	High Silencing	B2M	11.3555
X20BR008	High Silencing	HLAA	7.7674
X20BR008	High Silencing	HLAB	10.0216
X20BR008	High Silencing	HLAC	10.0216
X21BR001	High Silencing	B2M	11.177
X21BR001	High Silencing	HLAA	10.6685
X21BR001	High Silencing	HLAB	11.2021
X21BR001	High Silencing	HLAC	11.2021
X21BR002	Low Silencing	B2M	11.3296
X21BR002	Low Silencing	HLAA	10.458
X21BR002	Low Silencing	HLAB	11.2409
X21BR002	Low Silencing	HLAC	11.2409
X21BR010	High Silencing	B2M	11.0316
X21BR010	High Silencing	HLAA	6.7664
X21BR010	High Silencing	HLAB	10.6561
X21BR010	High Silencing	HLAC	10.6561
X22BR005	High Silencing	B2M	11.558
X22BR005	High Silencing	HLAA	9.4643
X22BR005	High Silencing	HLAB	9.8465
X22BR005	High Silencing	HLAC	9.8465
X22BR006	Low Silencing	B2M	10.7277
X22BR006	Low Silencing	HLAA	9.0564
X22BR006	Low Silencing	HLAB	9.685
X22BR006	Low Silencing	HLAC	9.685
